Table Name,State Code,Distt. Code,Tehsil Code,Town Code,Area Name,Total/ Rural/ Urban,Total - Persons,Total - Males,Total - Females,Religious communities - Hindu - Persons,Religious communities - Hindu - Males,Religious communities - Hindu - Females,Religious communities - Muslim - Persons,Religious communities - Muslim - Males,Religious communities - Muslim - Females,Religious communities - Christian - Persons,Religious communities - Christian - Males,Religious communities - Christian - Females,Religious communities - Sikh - Persons,Religious communities - Sikh - Males,Religious communities - Sikh - Females,Religious communities - Buddhist - Persons,Religious communities - Buddhist - Males,Religious communities - Buddhist - Females,Religious communities - Jain - Persons,Religious communities - Jain - Males,Religious communities - Jain - Females,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Persons,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Males,Religious communities - Other religions and persuasions (incl.Unclassified Sect.) - Females,Religious communities - Religion not stated - Persons,Religious communities - Religion not stated - Males,Religious communities - Religion not stated - Females
C0101,33,602,05701,803332,Kattivakkam (M),Urban,36617,18466,18151,30042,15248,14794,3244,1618,1626,3123,1563,1560,21,11,10,3,1,2,6,3,3,9,5,4,169,17,152
C0101,33,602,05701,803333,Tiruvottiyur (M),Urban,249446,125300,124146,208783,105062,103721,17287,8689,8598,21344,10494,10850,172,96,76,99,57,42,368,203,165,85,51,34,1308,648,660
C0101,33,602,05701,803334,Manali (M),Urban,35248,17911,17337,31027,15788,15239,1277,647,630,2835,1423,1412,6,4,2,4,3,1,66,32,34,0,0,0,33,14,19
C0101,33,602,05701,803335,Naravarikuppam (TP),Urban,20946,10444,10502,16256,8141,8115,3501,1714,1787,928,459,469,10,7,3,77,40,37,92,50,42,1,1,0,81,32,49
C0101,33,602,05701,803336,Puzhal (TP),Urban,31665,16810,14855,25299,13571,11728,2238,1217,1021,3213,1602,1611,29,15,14,6,3,3,330,164,166,8,3,5,542,235,307
C0101,33,602,05701,803337,Madavaram (M),Urban,119105,59887,59218,98530,49742,48788,4865,2411,2454,14859,7332,7527,62,39,23,42,20,22,187,93,94,10,4,6,550,246,304
C0101,33,602,05701,803338,Chinnasekkadu (TP),Urban,12396,6365,6031,11085,5683,5402,461,240,221,789,410,379,1,1,0,0,0,0,47,24,23,0,0,0,13,7,6
C0101,33,603,00000,000000,District - Chennai,Total,4646732,2335844,2310888,3751322,1887443,1863879,439270,223194,216076,358662,176419,182243,2851,1562,1289,2804,1573,1231,51708,26519,25189,1759,978,781,38356,18156,20200
C0101,33,603,00000,000000,District - Chennai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,33,603,00000,000000,District - Chennai,Urban,4646732,2335844,2310888,3751322,1887443,1863879,439270,223194,216076,358662,176419,182243,2851,1562,1289,2804,1573,1231,51708,26519,25189,1759,978,781,38356,18156,20200
C0101,33,603,99999,000000,Area not under any Sub-district,Total,4646732,2335844,2310888,3751322,1887443,1863879,439270,223194,216076,358662,176419,182243,2851,1562,1289,2804,1573,1231,51708,26519,25189,1759,978,781,38356,18156,20200
C0101,33,603,99999,000000,Area not under any Sub-district,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C0101,33,603,99999,000000,Area not under any Sub-district,Urban,4646732,2335844,2310888,3751322,1887443,1863879,439270,223194,216076,358662,176419,182243,2851,1562,1289,2804,1573,1231,51708,26519,25189,1759,978,781,38356,18156,20200
C0101,33,603,99999,803339,Chennai (M Corp.),Urban,4646732,2335844,2310888,3751322,1887443,1863879,439270,223194,216076,358662,176419,182243,2851,1562,1289,2804,1573,1231,51708,26519,25189,1759,978,781,38356,18156,20200
C0101,33,604,00000,000000,District - Kancheepuram,Total,3998252,2012958,1985294,3537399,1784046,1753353,173785,88022,85763,256762,126855,129907,1620,934,686,990,527,463,4962,2540,2422,756,394,362,21978,9640,12338
C0101,33,604,00000,000000,District - Kancheepuram,Rural,1459916,734979,724937,1362994,686888,676106,26708,13619,13089,62762,31012,31750,282,161,121,178,91,87,315,176,139,201,110,91,6476,2922,3554
C0101,33,604,00000,000000,District - Kancheepuram,Urban,2538336,1277979,1260357,2174405,1097158,1077247,147077,74403,72674,194000,95843,98157,1338,773,565,812,436,376,4647,2364,2283,555,284,271,15502,6718,8784
C0101,33,604,00000,803352,Meenambakkam (TP + OG),Urban,24334,12361,11973,21782,11067,10715,614,323,291,1824,920,904,29,17,12,9,2,7,2,1,1,0,0,0,74,31,43
C0101,33,604,00000,803356,Pallavaram (M + OG),Urban,233984,117405,116579,197123,99359,97764,14904,7483,7421,19650,9621,10029,99,52,47,60,31,29,316,153,163,30,11,19,1802,695,1107
C0101,33,604,05702,000000,Sub-District - Sriperumbudur,Total,510836,258881,251955,452259,229620,222639,24763,12660,12103,29975,14840,15135,117,65,52,136,68,68,345,190,155,74,38,36,3167,1400,1767
C0101,33,604,05702,000000,Sub-District - Sriperumbudur,Rural,220796,112103,108693,200823,102057,98766,6081,3291,2790,12068,5965,6103,31,19,12,36,19,17,62,40,22,19,12,7,1676,700,976
